,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
72,3911,DOGE,0.18371405087803633,-0.0137315736,410.71084705663515,0.0,410.71084705663515,1.0,-19494.0,0.003522,2865.0,0.003512575866888374,close_trailing_long
73,3932,DOGE,0.0,-0.003617964,410.70722909263515,0.0,410.70722909263515,1.0,5274.0,0.00343,8139.0,0.0034590674356352368,entry_grid_normal_long
74,3940,DOGE,0.05716637906334683,-0.003628926,410.7607665456985,0.0,410.7607665456985,1.0,-5229.0,0.00347,2910.0,0.0034590674356352368,close_trailing_long
75,4028,DOGE,0.23551376230146148,-0.0020602800000000003,410.994220028,0.0,410.994220028,1.0,-2910.0,0.00354,0.0,0.0034590674356352368,close_grid_long
76,4029,DOGE,0.0,-0.0019736024000000002,410.99224642559994,0.0,410.99224642559994,1.0,2786.0,0.003542,2786.0,0.003542,entry_initial_normal_long
77,4568,DOGE,0.0,-0.00353901,410.98870741559995,0.0,410.98870741559995,1.0,5129.0,0.00345,7915.0,0.003482383070120025,entry_grid_normal_long
78,4583,DOGE,0.0,-0.00990896,410.97879845559993,0.0,410.97879845559993,1.0,14572.0,0.0034,22487.0,0.0034289972873215633,entry_grid_normal_long
79,4584,DOGE,0.0,-0.027654532000000003,410.95114392359994,0.0,410.95114392359994,1.0,41399.0,0.00334,63886.0,0.003371325830385374,entry_grid_normal_long
80,4599,DOGE,0.0,-0.130410832,410.82073309159995,0.0,410.82073309159995,1.0,198797.0,0.00328,262683.0,0.003302210961501125,entry_grid_inflated_long
81,4601,DOGE,0.8759879894016727,-0.016805132,411.6799159490016,0.0,411.6799159490016,1.0,-25180.0,0.003337,237503.0,0.003302210961501125,close_trailing_long
82,4603,DOGE,1.0291890194036124,-0.0168701152,412.6922348532052,0.0,412.6922348532052,1.0,-25232.0,0.003343,212271.0,0.003302210961501125,close_trailing_long
83,4605,DOGE,0.19702372882904046,-0.01674529,412.8725132920342,0.0,412.8725132920342,1.0,-25295.0,0.00331,186976.0,0.003302210961501125,close_trailing_long
84,4607,DOGE,0.5766994082525236,-0.01682849,413.4323842102867,0.0,413.4323842102867,1.0,-25306.0,0.003325,161670.0,0.003302210961501125,close_trailing_long
85,4609,DOGE,0.3747542355614914,-0.016810556,413.79032788984824,0.0,413.79032788984824,1.0,-25340.0,0.003317,136330.0,0.003302210961501125,close_trailing_long
86,4619,DOGE,0.0,-0.08464768,413.70568020984825,0.0,413.70568020984825,1.0,132262.0,0.0032,268592.0,0.0032518795063942647,entry_grid_cropped_long
87,4627,DOGE,0.5438315898540753,-0.0168552954,414.2326565043023,0.0,414.2326565043023,1.0,-25749.0,0.003273,242843.0,0.0032518795063942647,close_trailing_long
88,4629,DOGE,0.46718256614306547,-0.016861428,414.6829776424454,0.0,414.6829776424454,1.0,-25782.0,0.00327,217061.0,0.0032518795063942647,close_trailing_long
89,4631,DOGE,0.6225499399640242,-0.016910711999999998,415.28861687040944,0.0,415.28861687040944,1.0,-25810.0,0.003276,191251.0,0.0032518795063942647,close_trailing_long
90,4633,DOGE,0.3391385187210492,-0.016878744,415.6108766451305,0.0,415.6108766451305,1.0,-25848.0,0.003265,165403.0,0.0032518795063942647,close_trailing_long
91,4635,DOGE,0.8308929285931619,-0.016990102400000002,416.42477947132363,0.0,416.42477947132363,1.0,-25868.0,0.003284,139535.0,0.0032518795063942647,close_trailing_long
92,4637,DOGE,0.21046695327344475,-0.016898536,416.6183478885971,0.0,416.6183478885971,1.0,-25918.0,0.00326,113617.0,0.0032518795063942647,close_trailing_long
93,4641,DOGE,0.21056439919671358,-0.01690636,416.8120059277938,0.0,416.8120059277938,1.0,-25930.0,0.00326,87687.0,0.0032518795063942647,close_trailing_long
94,4645,DOGE,0.2106618451199824,-0.016914184000000002,417.00575358891376,0.0,417.00575358891376,1.0,-25942.0,0.00326,61745.0,0.0032518795063942647,close_trailing_long
95,4647,DOGE,0.677931291043257,-0.0170154424,417.666669437557,0.0,417.666669437557,1.0,-25954.0,0.003278,35791.0,0.0032518795063942647,close_trailing_long
96,4649,DOGE,0.2111003517746921,-0.016949392,417.8608203973317,0.0,417.8608203973317,1.0,-25996.0,0.00326,9795.0,0.0032518795063942647,close_trailing_long
97,4651,DOGE,0.0871856800101119,-0.004339185,417.9436668923418,0.0,417.9436668923418,1.0,-6645.0,0.003265,3150.0,0.0032518795063942647,close_trailing_long
98,4896,DOGE,0.0,-0.0036765660000000005,417.9399903263418,0.0,417.9399903263418,1.0,5799.0,0.00317,8949.0,0.0031988211470713973,entry_grid_normal_long
99,4905,DOGE,0.06423368892775219,-0.0036889320000000007,418.00053508326954,0.0,418.00053508326954,1.0,-5746.0,0.00321,3203.0,0.0031988211470713973,close_trailing_long
100,4937,DOGE,0.0,-0.003679728,417.99685535526953,0.0,417.99685535526953,1.0,5897.0,0.00312,9100.0,0.003147743311436229,entry_grid_normal_long
101,4946,DOGE,0.0,-0.010286342,417.98656901326956,0.0,417.98656901326956,1.0,16753.0,0.00307,25853.0,0.0030973648758004747,entry_grid_normal_long
102,4950,DOGE,0.0,-0.02874738,417.95782163326953,0.0,417.95782163326953,1.0,47595.0,0.00302,73448.0,0.0030472317031650918,entry_grid_normal_long
103,4953,DOGE,0.0,-0.13168270399999998,417.8261389292695,0.0,417.8261389292695,1.0,222437.0,0.00296,295885.0,0.0029816536631937056,entry_grid_inflated_long
104,4956,DOGE,0.23671880450012311,-0.016960476000000002,418.04589725776964,0.0,418.04589725776964,1.0,-28362.0,0.00299,267523.0,0.0029816536631937056,close_trailing_long
