,balance,equity,balance_btc,equity_btc
308340,11596.139354876208,11595.130444876208,0.0,-1.008909999999995
308400,11596.139354876208,11592.743850876208,0.0,-3.3955040000000163
308460,11596.039219106207,11595.182629876208,0.0,-0.9567249999999912
308520,11782.128650513212,11590.831772106207,0.0,-5.207447000000164
308580,12730.977699835412,11783.096176921212,0.0,1.0692690000000038
308640,12741.369515355213,12729.993177835411,0.0,-0.9845219999999791
308700,12752.265757269612,12742.065196355212,0.0,0.6956809999999761
308760,12774.06603227641,12754.256535269611,0.0,1.9907780000001147
308820,12785.82626515201,12770.781452276411,0.0,-3.2845800000000125
308880,12785.82626515201,12781.869515152011,0.0,-3.9567500000000053
308940,12785.40701703201,12783.450515152012,0.0,-2.375749999999958
309000,12849.233071769811,12768.76422303201,0.0,-16.64279400000015
309060,12856.100298925812,12850.196891769812,0.0,0.9638199999999911
309120,12856.96275136843,12855.924203925812,0.0,-0.17609499999999728
309180,12856.96275136843,12857.000665939811,0.0,0.03791457138173068
309240,12866.751470055811,12852.847477939811,0.0,-4.115273428618289
309300,12868.69843498844,12862.483284055812,0.0,-4.26818599999999
309360,12875.769656696611,12870.569159696612,0.0,1.8707247081711718
309420,12875.769656696611,12875.769656696611,0.0,0.0
309480,12875.769656696611,12875.769656696611,0.0,0.0
309540,12875.707813940611,12875.769656696611,0.0,0.0
309600,12876.436689153808,12869.478415940612,0.0,-6.2293980000000255
309660,12885.712301903011,12880.078331812612,0.0,3.6416426588036366
309720,12885.712301903011,12881.848613903012,0.0,-3.8636880000000007
309780,14256.09865181889,12882.186053903011,0.0,-3.5262480000000145
309840,14437.082683469818,14429.496989202815,0.0,19.97607478339066
309900,14436.609280197817,14435.544916469818,0.0,-1.5377669999999894
309960,14463.214399507417,14421.973267197818,0.0,-14.636013000000164
310020,14463.214399507417,14463.214399507417,0.0,0.0
